,ra,dec,z1,z2,spec_type,cataid
0,138.2815,-0.66673,0.163,0.321,PG+ELG,198082
1,129.69546,-0.38179,0.418,0.738,PG+ELG,202448
2,136.63883,-0.35203,0.282,0.449,PG+ELG,204140
3,132.36771000000002,0.1636,0.128,0.603,PG+ELG,209222
4,132.61013,0.11972,0.313,0.608,PG+ELG,209295
5,134.02979,0.15244000000000002,0.16699999999999998,0.158,PG+ELG,209584
6,140.14186999999998,0.97341,0.586,0.336,PG+ELG,279956
7,135.32929,1.22984,0.487,0.247,PG+ELG,301818
8,138.94058,1.33144,0.593,0.404,PG+ELG,302719
9,130.73717,1.55957,0.416,0.35,PG+ELG,323200
10,131.02333000000002,1.6481400000000002,0.16399999999999998,0.229,PG+ELG,323247
11,138.257,1.72137,0.329,0.336,PG+ELG,325026
12,138.62475,1.87141,0.202,0.165,PG+ELG,325108
13,130.50925,1.02071,0.077,0.6990000000000001,PG+ELG,371208
14,136.80625,1.64392,0.28300000000000003,0.308,PG+ELG,377212
15,137.90642,1.62916,0.16899999999999998,0.334,PG+ELG,377486
16,130.27629,1.72911,0.361,0.387,PG+ELG,380839
17,138.7635,2.04159,0.341,0.358,PG+ELG,382857
18,140.6575,2.13736,0.194,0.342,PG+ELG,383284
19,138.99892,2.5142900000000004,0.16699999999999998,0.299,PG+ELG,388201
20,132.51888,2.29438,0.108,0.457,PG+ELG,417645
21,140.98671000000004,2.86084,0.569,0.662,PG+ELG,419678
22,132.81062,2.8378400000000004,0.308,0.212,PG+ELG,422882
23,129.41362,-0.01039,0.274,0.657,PG+ELG,573657
24,135.66788,-0.13742,0.223,0.229,PG+ELG,574390
25,140.77658,-0.11463,0.32,0.481,PG+ELG,575653
26,140.42683,-1.09201,0.331,0.224,PG+ELG,663372
27,139.63437,-0.60728,0.585,0.757,PG+ELG,905359
28,129.95892,-1.63319,0.268,0.187,PG+ELG,3576902
29,134.23367,-0.80412,0.736,0.267,PG+ELG,3626956
30,138.10708,-0.95852,0.315,0.444,PG+ELG,3632403
31,135.10842,-1.60189,0.411,0.44,PG+ELG,3884455
32,137.37821,-1.17997,0.227,0.328,PG+ELG,3909630
33,176.29228999999995,0.73915,0.529,0.642,PG+ELG,7242
34,176.96358,1.2031,0.094,0.7120000000000001,PG+ELG,22278
35,178.05237,1.05246,0.28300000000000003,0.157,PG+ELG,22559
36,182.90017,0.17959,0.255,0.122,PG+ELG,71072
37,177.78321,0.91949,0.4,0.569,PG+ELG,98399
38,179.06704,0.99197,0.259,0.27,PG+ELG,98624
39,183.13442,1.00244,0.214,0.7440000000000001,PG+ELG,99508
40,176.78942,-2.18512,0.435,0.398,PG+ELG,130303
41,182.36783,-2.24046,0.63,0.179,PG+ELG,131725
42,176.05286999999996,-1.77459,0.264,0.589,PG+ELG,136800
43,178.14021,-2.71487,0.078,0.153,PG+ELG,164640
44,180.96967,-1.46278,0.265,0.273,PG+ELG,185604
45,182.7435,1.59787,0.289,0.361,PG+ELG,220682
46,183.53083,1.55306,0.266,0.327,PG+ELG,220854
47,182.16688,1.9984,0.16,0.6890000000000001,PG+ELG,231043
48,183.15171,1.97018,0.19,0.218,PG+ELG,231307
49,185.33296,1.92256,0.423,0.46,PG+ELG,231746
50,185.65375,1.33724,0.217,0.415,PG+ELG,273903
51,181.64301,1.7412299999999998,0.294,0.701,PG+ELG,289278
52,174.23017,1.89732,0.138,0.204,PG+ELG,402278
53,180.41129,-0.48254,0.165,0.5429999999999999,PG+ELG,560475
54,181.98808,-0.52788,0.224,0.682,PG+ELG,560853
55,175.01863,-0.14991,0.314,0.747,PG+ELG,583469
56,184.62887,-0.18264,0.456,0.307,PG+ELG,586392
57,185.72429,-0.20906,0.6970000000000001,0.287,PG+ELG,586648
58,178.25696000000005,0.30019,0.365,0.391,PG+ELG,610029
59,179.39604,-1.13984,0.263,0.348,PG+ELG,690020
60,181.52958,1.93496,0.223,0.297,PG+ELG,814991
61,213.6345,0.74998,0.273,0.528,PG+ELG,14983
62,214.61879,0.62943,0.232,0.279,PG+ELG,15221
63,215.97479,0.67592,0.142,0.227,PG+ELG,15554
64,218.90542,-0.7438899999999999,0.343,0.245,PG+ELG,48883
65,222.49875,-0.40713,0.253,0.649,PG+ELG,65298
66,215.20808,0.17706,0.316,0.62,PG+ELG,77892
67,217.327,0.86711,0.16,0.452,PG+ELG,106821
68,215.06083,1.6042299999999998,0.19,0.243,PG+ELG,238715
69,217.45604,1.52598,0.284,0.379,PG+ELG,239367
70,214.17046,2.07386,0.5529999999999999,0.386,PG+ELG,250209
71,214.82401,2.12522,0.304,0.269,PG+ELG,250487
72,218.22696,1.97782,0.439,0.466,PG+ELG,251342
73,222.14058,1.16504,0.319,0.374,PG+ELG,298899
74,214.14233,1.86348,0.266,0.28600000000000003,PG+ELG,319348
75,214.38538,1.9114,0.051,0.245,PG+ELG,319416
76,218.13475,1.68924,0.109,0.192,PG+ELG,320384
77,218.63421,1.7856599999999998,0.274,0.279,PG+ELG,320557
78,215.069,2.22422,0.391,0.328,PG+ELG,342308
79,212.48058,-1.61746,0.115,0.411,PG+ELG,460463
80,213.41046,-1.64736,0.429,0.308,PG+ELG,460713
81,217.11896,-1.79492,0.269,0.404,PG+ELG,485756
82,215.95117,-1.68131,0.202,0.305,PG+ELG,508116
83,211.95117,0.23064,0.51,0.262,PG+ELG,617535
84,213.49346,0.35214,0.231,0.262,PG+ELG,617856
85,33.89513,-6.5513900000000005,0.217,0.7490000000000001,PG+ELG,1126606
86,32.65929000000001,-10.07633,0.14400000000000002,0.698,PG+ELG,1270758
87,32.292790000000004,-5.43011,0.417,0.619,PG+ELG,1312058
88,30.69342,-4.01222,0.331,0.436,PG+ELG,1569977
89,35.62492,-3.87688,0.614,0.292,PG+ELG,1684064
90,36.37075,-5.91766,0.294,0.319,PG+ELG,1763319
91,37.92875,-4.88681,0.189,0.716,PG+ELG,2005629
92,30.82808,-7.635839999999999,0.242,0.328,PG+ELG,2248952
93,344.09237,-34.88054,0.199,0.326,PG+ELG,5000687
94,350.0196200000001,-32.35935,0.202,0.785,PG+ELG,5014213
95,347.44408,-31.04443,0.213,0.235,PG+ELG,5022159
96,340.90525,-30.26776,0.151,0.282,PG+ELG,5026858
97,345.68529,-33.367329999999995,0.221,0.319,PG+ELG,7021723
98,342.77721,-33.04329,0.321,0.328,PG+ELG,7028850
99,346.47717,-32.81103,0.634,0.188,PG+ELG,7035191
100,342.57587,-31.90962,0.388,0.425,PG+ELG,7056621
101,342.1223700000001,-31.71619,0.24,0.243,PG+ELG,7061088
102,340.21004,-30.82531,0.287,0.217,PG+ELG,7081863
103,343.978,-30.75893,0.359,0.722,PG+ELG,7083868
108,346.4772,-32.811,0.1879,0.634,PG+ELG,5297680
109,350.0196,-32.3593,0.2022,0.7854,PG+ELG,5363861
115,342.1224,-31.7162,0.2401,0.243,PG+ELG,5230798
116,346.6823,-34.8419,0.2036,0.2837,PG+ELG,5287619
128,347.4441,-31.0444,0.213,0.235,PG+ELG,5305885
129,340.21,-30.8253,0.217,0.287,PG+ELG,5108875
130,342.0545,-30.9158,0.2888,0.5565,PG+ELG,5133005
131,348.69,-31.531,0.1955,0.2438,PG+ELG,5327168
142,340.2153,-30.458,0.2185,0.2602,PG+ELG,5205278
143,345.708,-31.6132,0.1017,0.2789,PG+ELG,5278488
144,344.9055,-31.1903,0.1835,0.6495,PG+ELG,5265318
187,342.7772,-33.0433,0.3207,0.3278,PG+ELG,5137833
188,343.978,-30.7589,0.359,0.7222,PG+ELG,5247328
189,342.5759,-31.9096,0.3876,0.4254,PG+ELG,5229802
190,345.6853,-33.3673,0.2208,0.3188,PG+ELG,5151434
191,346.7303,-34.8736,0.2064,0.4942,PG+ELG,5287452
192,340.0066,-34.1301,0.218,0.3009,PG+ELG,5196710
198,344.0924,-34.8805,0.1993,0.3265,PG+ELG,5251563