,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,RA,DEC,z1,z2,spec_type,GAMA_ID,STELLAR_MASS,max_total_mass,theta_e,Z,max_stellar_mass_salpeter,max_stellar_mass_chabrier,Dz,theta_e2,z_lens,theta_e_reckoning,theta_e_Ang,theta_e_H0,f_dm,theta_e_H0_slide,theta_e_Ang_slide,D1,D2,fiber_radius_mass,fiber_radius_stellar_mass,f_dm_half_re,theta_e_Ang_slide_half_re,mass_half_effective_radius,lensing_mass_half_effective_radius,theta_e_half_radius,sigma,D_source,D_lens,theta_e_veldisp
0,0,0,0,0,0,138.2815,-0.66673,0.163,0.321,PG+ELG,198082,30250000384.0,165579113924.05066,0.5146810773892407,0.1632000058889389,114249588607.59496,64575854430.37976,0.158,0.5562506347678932,0.163,0.6845898301857409,0.6788352396087561,0.6845898301857409,0.472494299985197,0.5886391838917511,0.5836911444212429,550.4045601281682,920.8708986917827,168318564620.8508,88789002255.80876,0.4081637971667848,0.31172447928481284,13877122300.395958,13877122300.395958,0.2871333900063406,137.3006324247959,920,550,0.21865175690775365
1,1,1,1,1,1,129.69546,-0.38179,0.418,0.738,PG+ELG,202448,,482006250000.0,,,332584312500.0,187982437500.0,0.32,,0.418,,,,,,,1091.8218728933484,1453.8948305094339,539372367268.1545,,,,,,,,1453,1091,
2,2,2,2,2,2,136.63883,-0.35203,0.282,0.449,PG+ELG,204140,85779996672.0,379095808383.2334,0.5727918204001,0.2818000018596649,261576107784.43106,147847365269.46106,0.16700000000000004,0.3466639856624429,0.282,0.7618843440846563,0.7457100346041133,0.7618843440846563,0.5313401832569895,0.6950123049686595,0.6802576454187851,841.1448365535323,1139.1931833585825,395531834578.4025,185369877109.54086,0.4670096804385772,0.3608424469900119,51065221080.95727,51065221080.95727,0.3593121363169379,182.0629070862959,1139,841,0.2501090953518983
3,3,3,3,3,3,132.36771000000002,0.1636,0.128,0.603,PG+ELG,209222,14250000384.0,81246315789.4737,0.5042940986881272,0.12770000100135806,56059957894.73685,31686063157.894737,0.475,0.8971344183260483,0.128,0.6707738569597417,0.6621648433632806,0.6707738569597417,0.42999593388619095,0.5548421609728679,0.547721066943719,449.006077562336,1331.8835960576082,83333194684.12135,47500259812.20283,0.3656654310677787,0.2937069488938809,5415783318.441297,5415783318.441297,0.25493039824670644,107.20311258488383,1331,449,0.2196338725457852
4,4,4,4,4,4,132.61013,0.11972000000000001,0.313,0.608,PG+ELG,209295,84560003072.0,322549152542.3729,0.6165422296991775,0.3125999867916107,222558915254.2373,125794169491.52545,0.295,0.41781295432594456,0.313,0.8200778285324257,0.7931991708284661,0.8200778285324257,0.5305314487100042,0.7474533996096271,0.7229550613071257,905.0721963945116,1337.0993170970692,344616351323.55817,161786539206.71506,0.46620094589159206,0.383531151424342,50159006144.52903,50159006144.52903,0.3815105230242493,181.33154513523343,1337,905,0.3064030353456579
5,5,5,5,5,5,140.14186999999998,0.97341,0.586,0.336,PG+ELG,279956,,-393792000000.0001,,,-271716480000.0001,-153578880000.00006,0.24999999999999994,,0.336,,,,,,,1313.7063784773807,949.7521278852716,421756503329.2801,,,,,,,,1313,949,
6,6,6,6,6,6,135.32929,1.22984,0.48700000000000004,0.247,PG+ELG,301818,121500000256.0,-250602083333.3333,,0.4862000048160553,-172915437499.99994,-97734812500.0,0.24000000000000005,0.6779864577652237,0.247,1.1152348416111448,1.0927597653312835,1.1152348416111448,0.5509949162504204,1.0393767633847937,1.01843043784959,1193.0140548353122,763.4905424310182,260892911499.1013,117142243577.32567,0.4866644134320082,0.5388046097415882,78906546077.20715,78906546077.20715,0.5499527488686285,200.7732893890458,1193,763,0.4190191580880955
7,7,7,7,7,7,138.94058,1.33144,0.593,0.40399999999999997,PG+ELG,302719,147399999488.0,-633788359788.3597,,0.5932999849319458,-437313968253.9682,-247177460317.4603,0.189,0.2452619195765202,0.40399999999999997,0.7724086697545895,0.7401175330801965,0.7724086697545895,0.5619046726618842,0.7287777967419287,0.6983106821672909,1321.275031353356,1069.34516871976,689972036499.8745,302273525184.55896,0.4975741698434719,0.3688688704909727,100464941958.81364,100464941958.81364,0.3815852016993972,211.97653676290858,1321,1069,0.24721072447483303
8,8,8,8,8,8,130.50925,1.02071,0.077,0.6990000000000001,PG+ELG,371208,4812000256.0,43266077170.418,0.4015756276786849,0.07670000195503235,29853593247.588417,16873770096.463018,0.6220000000000001,1.1104532731927734,0.077,0.5341455181406876,0.5293619322513272,0.5341455181406876,0.3687023334304143,0.4198312868976384,0.4160714518869352,285.94770356896197,1422.4198532032485,44030703149.02226,27796480155.395863,0.3043718306120021,0.22421848786721252,1394118650.984041,1394118650.984041,0.1779393739298445,69.21452353911047,1422,285,0.1104712669682618
9,9,9,9,9,9,137.90642,1.62916,0.16899999999999998,0.33399999999999996,PG+ELG,377486,,171048484848.48486,,,118023454545.45454,66708909090.9091,0.16499999999999998,,0.16899999999999998,,,,,,,566.9939383900564,945.9562832631384,174121910321.19687,,,,,,,,945,566,
10,10,10,10,10,10,140.6575,2.1373599999999997,0.19399999999999998,0.342,PG+ELG,383284,42750001152.0,224148648648.6486,0.5258698709432156,0.19359999895095825,154662567567.5675,87417972972.97295,0.14800000000000005,0.4597684942700748,0.19399999999999998,0.6994723168665288,0.6919439611180245,0.6994723168665288,0.4920216969997471,0.6128867791371241,0.606290335510064,633.7513693276236,961.039747188276,228944216443.31485,116298694550.59767,0.4276911941813348,0.3231193763791362,21382715055.546608,21382715055.546608,0.30560931388082185,151.94425577938844,961,633,0.22725478061365736
11,11,11,11,11,11,138.99892,2.5142900000000004,0.16699999999999998,0.299,PG+ELG,388201,36470001664.0,189140151515.1515,0.5287547861372022,0.16740000247955322,130506704545.45453,73764659090.90909,0.132,0.5206452431155941,0.16699999999999998,0.7033096127950479,0.6976849081884832,0.7033096127950479,0.4830516518067878,0.6108791197266396,0.6059936261456185,561.4891065013951,876.7437530937523,192111126500.56625,99311529514.00494,0.4187211489883755,0.3232766673869969,17531231073.18039,17531231073.18039,0.30208554725375264,145.03311822985702,876,561,0.21813975238755984
12,12,12,12,12,12,132.51888,2.29438,0.10800000000000001,0.457,PG+ELG,417645,8476000256.0,70710601719.19772,0.4168996210432237,0.10760000348091124,48790315186.24642,27577134670.487114,0.349,0.8173885191556253,0.10800000000000001,0.5545283347548354,0.5500846165709421,0.5545283347548354,0.40066482495024375,0.44732293124591216,0.4437383046018493,387.32871583171516,1150.9017979598445,71823630608.99423,43046428223.75058,0.3363343221318316,0.2385404934860248,2828989832.5939198,2828989832.5939198,0.1984641260548851,86.95227661654847,1150,387,0.144671375812358
13,13,13,13,13,13,129.41362,-0.01039,0.27399999999999997,0.657,PG+ELG,573657,,235010443864.2297,,,162157206266.31848,91654073107.0496,0.3830000000000001,,0.27399999999999997,,,,,,,823.9230889903232,1385.2218605484309,250156572758.7281,,,,,,,,1385,823,
14,14,14,14,14,14,140.77658,-0.11463,0.32,0.48100000000000004,PG+ELG,575653,132299997184.0,478012422360.2485,0.6334883203960485,0.3199999928474426,329828571428.5714,186424844720.4969,0.16100000000000006,0.32596231253457675,0.32,0.8426182362958718,0.8206285428712886,0.8426182362958718,0.5558027785426629,0.7895420024566969,0.7689374322824543,918.9112854162973,1184.8132108518728,503734842256.5735,223757617281.62,0.4914722757242507,0.4065337382451733,87769268505.89972,87769268505.89972,0.4174171070798512,205.6356051873948,1184,918,0.273981072114127
15,15,15,15,15,15,140.42683,-1.0920100000000001,0.331,0.22399999999999998,PG+ELG,663372,81979998208.0,-346467289719.62604,,0.3305000066757202,-239062429906.542,-135122242990.65414,0.10700000000000004,0.3775493771097395,0.22399999999999998,0.7791002809615187,0.7696932653227296,0.7791002809615187,0.5287820275833418,0.7087853645122859,0.7002273455108254,940.2310332557566,709.0695418757037,354819863355.1717,167197496583.37973,0.4644515247649296,0.3715571180634147,48253360671.40509,48253360671.40509,0.36877359812113175,179.759528864426,940,709,0.22901396605326352
16,16,16,16,16,16,139.63437,-0.60728,0.585,0.757,PG+ELG,905359,268600000512.0,1287340116279.069,0.5500277984426879,0.5827999711036682,888264680232.5576,502062645348.83704,0.17200000000000004,0.14146061222670891,0.585,0.7316053643226251,0.6723236231800184,0.7316053643226251,0.5957837811908703,0.7186249924478428,0.6603950465529761,1312.6154326187645,1468.2286734415234,1523648048684.1333,615883253035.0092,0.5314532783724579,0.3469838105320043,212703774468.7424,212703774468.7424,0.37363303562370825,250.91047267353886,1468,1312,0.19294348526934335
17,17,17,17,17,17,134.23367,-0.80412,0.736,0.267,PG+ELG,3626956,,-209501066098.08105,,,-144555735607.6759,-81705415778.25162,0.469,,0.267,,,,,,,1452.3488247623263,808.6014942493273,224434716390.51367,,,,,,,,1452,808,
18,18,18,18,18,18,138.10708,-0.95852,0.315,0.444,PG+ELG,3632403,144200007680.0,542093023255.81396,0.6210463576266011,0.3151000142097473,374044186046.5117,211416279069.7675,0.129,0.2926230634464666,0.315,0.8260688787350307,0.8066016918292973,0.8260688787350307,0.5606654868567754,0.7783069409236406,0.7599653146028529,909.048070531152,1131.7697622315868,568306233029.7684,249676542204.39325,0.4963349840383632,0.4015092251260275,97746066504.88254,97746066504.88254,0.4147232995501438,210.67317704885687,1131,909,0.25124814162663867
19,19,19,19,19,19,137.37821,-1.17997,0.22699999999999998,0.32799999999999996,PG+ELG,3909630,78360002560.0,368594059405.9406,0.5552024082801145,0.2270999997854233,254329900990.099,143751683168.31686,0.10099999999999998,0.3426918021332219,0.22699999999999998,0.7384882388356164,0.729533573409566,0.7384882388356164,0.5262322773964276,0.6700283086547211,0.6619037658191524,716.3271806381617,934.4677746675476,377519394969.7338,178856503993.48932,0.4619017745780154,0.3513353069950482,45604819067.50399,45604819067.50399,0.3475647583880903,177.49271723288493,934,716,0.21206289835257705
20,20,20,20,20,20,176.29228999999995,0.73915,0.529,0.642,PG+ELG,7242,,1502734513274.337,,,1036886814159.2924,586066460176.9915,0.113,,0.529,,,,,,,1247.4714654937345,1371.0518892807966,1702687045377.9072,,,,,,,,1371,1247,
21,21,21,21,21,21,176.96358,1.2031,0.094,0.7120000000000001,PG+ELG,22278,,54148867313.91585,,,37362718446.60193,21118058252.42718,0.6180000000000001,,0.094,,,,,,,342.4400099485603,1433.2275569395126,55355334527.341835,,,,,,,,1433,342,
22,22,22,22,22,22,178.05237,1.05246,0.28300000000000003,0.157,PG+ELG,22559,,-176313492063.49207,,,-121656309523.80952,-68762261904.7619,0.12600000000000006,,0.157,,,,,,,843.2761741668576,533.588652485233,178752740396.58426,,,,,,,,843,533,
23,23,23,23,23,23,182.90017,0.17959,0.255,0.122,PG+ELG,71072,1494000000.0,-116954887218.0451,,0.12189999967813492,-80698872180.45111,-45612406015.03759,0.133,0.1876150795040155,0.122,0.181024201135159,0.18013772779941106,0.181024201135159,0.3026655776723194,0.13537809273298146,0.13471514784108496,781.7757991466759,430.7981672005426,118052891729.4165,82322345058.24489,0.2383350748539072,0.07291720188056308,323095516.88896096,323095516.88896096,0.052315111005011836,43.199954637883586,781,430,0.02418893031901204
24,24,24,24,24,24,177.78321,0.9194899999999999,0.4,0.569,PG+ELG,98399,,673372781065.089,,,464627218934.9114,262615384615.3847,0.16899999999999993,,0.4,,,,,,,1062.7949869494985,1294.8246508918785,729653962184.2351,,,,,,,,1294,1062,
25,25,25,25,25,25,183.13442,1.00244,0.214,0.7440000000000001,PG+ELG,99508,51619999744.0,150203773584.90564,0.7059059840189912,0.2143000066280365,103640603773.58487,58579471698.11321,0.5300000000000001,0.8167826031509527,0.214,0.938942733581761,0.9132549972055996,0.938942733581761,0.5026663397470259,0.8314717186350702,0.8087241904327321,684.5231812113743,1458.4899891531675,158697204447.3369,78925461559.70862,0.4383358369286137,0.4304879432923101,27065445668.78232,27065445668.78232,0.41297423099089775,157.84900819419485,1458,684,0.3814706689208508
26,26,26,26,26,26,182.36783,-2.2404599999999997,0.63,0.179,PG+ELG,131725,139699994624.0,-125022172949.0022,,0.6298999786376953,-86265299334.81151,-48758647450.110855,0.451,1.6746661252197552,0.179,1.6930711187211651,1.6608957944566942,1.6930711187211651,0.5588755306221899,1.5919408620666382,1.5616874291892608,1359.3646009755146,594.1486152413357,129851512172.42595,57280679404.96765,0.4945450278037777,0.8252935321692714,93948136888.96654,93948136888.96654,0.8505906024257225,214.96241972752944,1359,594,0.7501723657274655
27,27,27,27,27,27,176.05286999999996,-1.7745900000000001,0.264,0.589,PG+ELG,136800,86619996160.0,239224615384.61545,0.7245768157323821,0.26420000195503235,165064984615.38464,93297600000.00003,0.325,0.6052802933325253,0.264,0.9637772613575512,0.9382479014311113,0.9637772613575512,0.5318903608183131,0.8797012055548964,0.8563989244109108,801.9619173834676,1316.9646113591518,252300638565.4559,118104360884.18475,0.4675598579999009,0.45424431331711,51691053720.15095,51691053720.15095,0.4526354013400456,182.56213372815728,1316,801,0.3761549186263005
28,28,28,28,28,28,182.16688,1.9984,0.16,0.6890000000000001,PG+ELG,231043,,104196597353.49716,,,71895652173.91304,40636672967.863884,0.529,,0.16,,,,,,,542.0251353478959,1413.8840265287256,108140161482.52307,,,,,,,,1413,542,
29,29,29,29,29,29,185.65375,1.33724,0.217,0.415,PG+ELG,273903,,227411616161.6161,,,156914015151.51514,88690530303.0303,0.198,,0.217,,,,,,,691.9447717702558,1087.0635839581828,234206353312.5244,,,,,,,,1087,691,
30,30,30,30,30,30,181.64301,1.7412299999999998,0.294,0.701,PG+ELG,289278,,253186732186.7321,,,174698845208.84515,98742825552.82556,0.407,,0.294,,,,,,,866.4121153733067,1424.1036606709567,272189933067.9472,,,,,,,,1424,866,
31,31,31,31,31,31,180.41128999999998,-0.48253999999999997,0.165,0.5429999999999999,PG+ELG,560475,,118511904761.9048,,,81773214285.71431,46219642857.14288,0.3779999999999999,,0.165,,,,,,,555.959355293263,1264.5262316734195,122064686249.52625,,,,,,,,1264,555,
32,32,32,32,32,32,181.98808,-0.52788,0.22399999999999998,0.682,PG+ELG,560853,,166777292576.4192,,,115076331877.72925,65043144104.80349,0.4580000000000001,,0.22399999999999998,,,,,,,709.0695418757037,1407.7916434365177,175761088179.89264,,,,,,,,1407,709,
33,33,33,33,33,33,175.01863,-0.14991,0.314,0.747,PG+ELG,583469,143799992320.0,270852193995.3811,0.8773876938414248,0.31439998745918274,186888013856.81296,105632355658.19864,0.433,0.6719161724978082,0.314,1.1670347302854158,1.1191192414554203,1.1670347302854158,0.5605086521707959,1.0993625012314556,1.0542254626490744,907.0623283213373,1460.7636361317013,294402524820.718,129387362437.77805,0.4961781493523837,0.5569871245811274,97407245783.38538,97407245783.38538,0.5752079326618877,210.50879267619754,1460,907,0.4840684255547049
34,34,34,34,34,34,184.62887,-0.18264,0.456,0.307,PG+ELG,586392,,-469771812080.5369,,,-324142550335.57043,-183211006711.4094,0.14900000000000002,,0.307,,,,,,,1149.4494889909718,893.0386563479179,492519898017.8863,,,,,,,,1149,893,
35,35,35,35,35,35,185.72429,-0.20906,0.6970000000000001,0.287,PG+ELG,586648,,-243949999999.99994,,,-168325499999.99994,-95140499999.99997,0.4100000000000001,,0.287,,,,,,,1420.7283015568455,851.7544880295883,261657497598.5185,,,,,,,,1420,851,
36,36,36,36,36,36,213.6345,0.74998,0.273,0.528,PG+ELG,14983,103499997184.0,282635294117.6471,0.7286773302834573,0.2727999985218048,195018352941.17648,110227764705.88237,0.255,0.5416428183209419,0.273,0.969231455582904,0.9455824538362196,0.969231455582904,0.5419422439369801,0.8943338796556607,0.8725123597697054,821.7488231544045,1246.2328675591984,296808901237.6987,135955619280.47075,0.4776117411185679,0.4621787715654352,64575549080.26633,64575549080.26633,0.4664397922137018,191.92795458837247,1246,821,0.3623609227895351
37,37,37,37,37,37,222.49875,-0.40713,0.253,0.649,PG+ELG,65298,90939998208.0,207319444444.4445,0.7975092678817675,0.25270000100135803,143050416666.66666,80854583333.33334,0.396,0.7364171930170038,0.253,1.0607864913942278,1.0309570059645503,1.0607864913942278,0.5346381423704543,0.9711020968518834,0.9437945509095332,777.2349263355006,1377.7244821947718,219386159580.73645,102093950760.70348,0.470307639552042,0.5004215367838297,54933385086.929115,54933385086.929115,0.5003956988032658,185.07601443556752,1377,777,0.4304389729115124
38,38,38,38,38,38,215.20808,0.17706,0.316,0.62,PG+ELG,77892,61110001664.0,322236842105.2632,0.5243808673902559,0.3158999979496002,222343421052.6316,125672368421.05264,0.304,0.3555988998842806,0.316,0.6974917569931461,0.6739093542530601,0.6974917569931461,0.5121945984209131,0.6236602729413655,0.6025741345289229,911.0294330400093,1349.380576004698,345020356176.5642,168302793397.66852,0.4478640956025009,0.32039503883863263,33422047691.493824,33422047691.493824,0.3112391121105877,165.5150749581814,1349,911,0.256525929681639
39,39,39,39,39,39,217.327,0.86711,0.16,0.452,PG+ELG,106821,10750000128.0,123835616438.35616,0.3547804953737209,0.15970000624656674,85446575342.46574,48295890410.9589,0.29200000000000004,0.4698984826558901,0.16,0.4719021735035054,0.4663064001298754,0.4719021735035054,0.4140831010249586,0.38500491086141797,0.38043955738376745,542.0251353478959,1143.6081286515891,126765510547.34488,74274054836.88821,0.3497525982065464,0.20428635340048631,3807617129.534576,3807617129.534576,0.17331098120033642,95.69243661962189,1143,542,0.13886009794653273
40,40,40,40,40,40,214.17046000000002,2.07386,0.5529999999999999,0.386,PG+ELG,250209,124899999744.0,-639095808383.2338,,0.553600013256073,-440976107784.4313,-249247365269.4612,0.16699999999999993,0.2235200820071794,0.386,0.7080578829933006,0.6818957184962469,0.7080578829933006,0.5525531168729185,0.6610439307455802,0.6366188936528027,1276.3874421109006,1039.409776612042,688750462147.5914,308179247540.2767,0.4882226140545063,0.33673224858775586,81676239135.45671,81676239135.45671,0.3443633423458561,202.33641222501709,1276,1039,0.2193005701508113
41,41,41,41,41,41,214.38537999999997,1.9114,0.051,0.245,PG+ELG,319416,875900032.0,32203608247.42268,0.1985881316510444,0.050799999386072166,22220489690.72165,12559407216.494844,0.194,0.6752371398394044,0.051,0.2641469082436759,0.2636364516706353,0.2641469082436759,0.2725190904871605,0.1934047048595063,0.19303095563219588,195.11867851069096,758.8681714430206,32313129391.471718,23507184758.913914,0.20818858766874826,0.10466509500047776,165752795.95688722,165752795.95688722,0.0716210892388483,34.836072081823936,758,195,0.025995103416670474
42,42,42,42,42,42,212.48057999999997,-1.6174600000000001,0.115,0.41100000000000003,PG+ELG,460463,31270000640.0,79839527027.02702,0.7535867495232883,0.1152999997138977,55089273648.648636,31137415540.54054,0.29600000000000004,1.3571157502958342,0.115,1.0023640804968077,0.9947145311008416,1.0023640804968077,0.4743666257171074,0.8634085257313288,0.8568194167488856,409.23763287375283,1080.6701133148717,81033828606.52963,42594084761.51177,0.4100361228986952,0.4575020500360537,14464470757.77467,14464470757.77467,0.42249161551692,138.6412520600558,1080,409,0.34441155023849473
43,43,43,43,43,43,213.41046,-1.64736,0.429,0.308,PG+ELG,460713,172699992064.0,-546000000000.0,,0.4293999969959259,-376740000000.0,-212940000000.0,0.121,0.3174895826286494,0.308,0.9007833820134918,0.8807971263884461,0.9007833820134918,0.5708480012893693,0.8587111445431884,0.8396583724943156,1109.0024700786805,895.0553384839311,570789443504.0201,244955430522.6789,0.5065174984709571,0.4429424494659362,122463898944.66425,122463898944.66425,0.4631973593704653,221.62520036816298,1109,895,0.2733471240838927
44,44,44,44,44,44,217.11896000000002,-1.79492,0.26899999999999996,0.40399999999999997,PG+ELG,485756,24689999872.0,402503703703.7036,0.29823175870763025,0.2685999870300293,277727555555.5555,156976444444.44446,0.135,0.17308171071768247,0.26899999999999996,0.3966853222685033,0.38952272723147263,0.3966853222685033,0.4610277413984554,0.33743896387032457,0.3313461277802543,813.0033906873088,1069.34516871976,417244745485.6635,224883342864.0347,0.3966972385800431,0.17716276034560466,10765743908.285372,10765743908.285372,0.16062997223839914,128.30347694249195,1069,813,0.11369283883694731
45,45,45,45,45,45,215.95117000000002,-1.6813099999999999,0.20199999999999999,0.305,PG+ELG,508116,27910000640.0,299077669902.9125,0.3678461502765504,0.2021999955177307,206363592233.0096,116640291262.13585,0.10300000000000001,0.2628171064284596,0.20199999999999999,0.4892811191538213,0.4844144930450915,0.4892811191538213,0.4679487800381584,0.4189035482152553,0.41473693138706136,654.3335511965824,888.9918999843643,304972712891.88776,162261103949.20135,0.4036182772197462,0.2215961742532176,12548519596.19851,12548519596.19851,0.20284567631254366,132.80013510115876,888,654,0.1340275024097809
46,46,46,46,46,46,211.95117000000002,0.23064,0.51,0.262,PG+ELG,617535,91690000384.0,-269395161290.3226,,0.5101000070571899,-185882661290.3225,-105064112903.2258,0.248,0.5400173713941553,0.262,0.9344081546659818,0.9133663795449471,0.9344081546659818,0.5351018566912947,0.8558349492840521,0.8365625505430603,1223.462090186315,797.5109103665262,281817089017.2456,131016241436.7816,0.4707713538728825,0.4435378043853244,55500277340.7805,55500277340.7805,0.443776105308888,185.50365664801063,1223,797,0.34568623857501185
