,Unnamed: 0,RA,DEC,z1,z2,spec_type,GAMA_ID,STELLAR_MASS,Z
0,0,138.2815,-0.66673,0.163,0.321,PG+ELG,198082,30250000384.0,0.1632000058889389
1,1,129.69546,-0.38179,0.418,0.738,PG+ELG,202448,,
2,2,136.63883,-0.35203,0.282,0.449,PG+ELG,204140,85779996672.0,0.2818000018596649
3,3,132.36771000000002,0.1636,0.128,0.603,PG+ELG,209222,14250000384.0,0.12770000100135803
4,4,132.61013,0.11972000000000001,0.313,0.608,PG+ELG,209295,84560003072.0,0.3125999867916107
5,5,134.02979,0.15244000000000002,0.16699999999999998,0.158,PG+ELG,209584,,
6,6,140.14186999999998,0.97341,0.586,0.336,PG+ELG,279956,,
7,7,135.32929,1.22984,0.48700000000000004,0.247,PG+ELG,301818,121500000256.0,0.4862000048160553
8,8,138.94058,1.33144,0.593,0.40399999999999997,PG+ELG,302719,147399999488.0,0.5932999849319458
9,9,130.73717,1.5595700000000001,0.41600000000000004,0.35,PG+ELG,323200,121600000000.0,0.415800005197525
10,10,131.02333000000002,1.6481400000000002,0.16399999999999998,0.22899999999999998,PG+ELG,323247,36759998464.0,0.16380000114440918
11,11,138.257,1.72137,0.32899999999999996,0.336,PG+ELG,325026,,
12,12,138.62475,1.8714099999999998,0.20199999999999999,0.165,PG+ELG,325108,41790001152.0,0.20190000534057617
13,13,130.50925,1.02071,0.077,0.6990000000000001,PG+ELG,371208,4812000256.0,0.07670000195503235
14,14,136.80625,1.64392,0.28300000000000003,0.308,PG+ELG,377212,98149998592.0,0.2825999855995178
15,15,137.90642,1.62916,0.16899999999999998,0.33399999999999996,PG+ELG,377486,,
16,16,130.27629,1.72911,0.361,0.387,PG+ELG,380839,237900005376.0,0.3601999878883362
17,17,138.7635,2.0415900000000002,0.341,0.358,PG+ELG,382857,77169999872.0,0.34060001373291016
18,18,140.6575,2.1373599999999997,0.19399999999999998,0.342,PG+ELG,383284,42750001152.0,0.19359999895095825
19,19,138.99892,2.5142900000000004,0.16699999999999998,0.299,PG+ELG,388201,36470001664.0,0.16740000247955322
20,20,132.51888,2.29438,0.10800000000000001,0.457,PG+ELG,417645,8476000256.0,0.10760000348091125
21,21,140.98671000000004,2.86084,0.569,0.662,PG+ELG,419678,,
22,22,132.81062,2.8378400000000004,0.308,0.212,PG+ELG,422882,,
23,23,129.41362,-0.01039,0.27399999999999997,0.657,PG+ELG,573657,,
24,24,135.66788,-0.13742000000000001,0.223,0.22899999999999998,PG+ELG,574390,106499997696.0,0.22269999980926514
25,25,140.77658,-0.11463,0.32,0.48100000000000004,PG+ELG,575653,132299997184.0,0.3199999928474426
26,26,140.42683,-1.0920100000000001,0.331,0.22399999999999998,PG+ELG,663372,81979998208.0,0.3305000066757202
27,27,139.63437,-0.60728,0.585,0.757,PG+ELG,905359,268600000512.0,0.5827999711036682
28,28,129.95892,-1.63319,0.268,0.187,PG+ELG,3576902,56149999616.0,0.2678000032901764
29,29,134.23367,-0.80412,0.736,0.267,PG+ELG,3626956,,
30,30,138.10708,-0.95852,0.315,0.444,PG+ELG,3632403,144200007680.0,0.3151000142097473
31,31,135.10842,-1.60189,0.41100000000000003,0.44,PG+ELG,3884455,,
32,32,137.37821,-1.17997,0.22699999999999998,0.32799999999999996,PG+ELG,3909630,78360002560.0,0.22709999978542328
33,33,176.29228999999995,0.73915,0.529,0.642,PG+ELG,7242,,
34,34,176.96358,1.2031,0.094,0.7120000000000001,PG+ELG,22278,,
35,35,178.05237,1.05246,0.28300000000000003,0.157,PG+ELG,22559,,
36,36,182.90017,0.17959,0.255,0.122,PG+ELG,71072,1494000000.0,0.12189999967813492
37,37,177.78321,0.9194899999999999,0.4,0.569,PG+ELG,98399,,
38,38,179.06704,0.99197,0.259,0.27,PG+ELG,98624,62649999360.0,0.25870001316070557
39,39,183.13442,1.00244,0.214,0.7440000000000001,PG+ELG,99508,51619999744.0,0.2143000066280365
40,40,176.78942,-2.18512,0.435,0.39799999999999996,PG+ELG,130303,,
41,41,182.36783,-2.2404599999999997,0.63,0.179,PG+ELG,131725,139699994624.0,0.6298999786376953
42,42,176.05286999999996,-1.7745900000000001,0.264,0.589,PG+ELG,136800,86619996160.0,0.26420000195503235
43,43,178.14021,-2.71487,0.078,0.153,PG+ELG,164640,51090001920.0,0.07810000330209732
44,44,180.96967,-1.46278,0.265,0.273,PG+ELG,185604,91269996544.0,0.26510000228881836
45,45,182.7435,1.5978700000000001,0.289,0.361,PG+ELG,220682,112999997440.0,0.2888999879360199
46,46,183.53083,1.55306,0.266,0.327,PG+ELG,220854,53719998464.0,0.2662000060081482
47,47,182.16688,1.9984,0.16,0.6890000000000001,PG+ELG,231043,,
48,48,183.15171,1.9701799999999998,0.19,0.218,PG+ELG,231307,38320001024.0,0.18960000574588776
49,49,185.33296,1.9225599999999998,0.423,0.46,PG+ELG,231746,,
50,50,185.65375,1.33724,0.217,0.415,PG+ELG,273903,,
51,51,181.64301,1.7412299999999998,0.294,0.701,PG+ELG,289278,,
52,52,174.23017,1.8973200000000001,0.138,0.204,PG+ELG,402278,,
53,53,180.41128999999998,-0.48253999999999997,0.165,0.5429999999999999,PG+ELG,560475,,
54,54,181.98808,-0.52788,0.22399999999999998,0.682,PG+ELG,560853,,
55,55,175.01863,-0.14991,0.314,0.747,PG+ELG,583469,143799992320.0,0.31439998745918274
56,56,184.62887,-0.18264,0.456,0.307,PG+ELG,586392,,
57,57,185.72429,-0.20906,0.6970000000000001,0.287,PG+ELG,586648,,
58,58,178.25696000000005,0.30019,0.365,0.391,PG+ELG,610029,,
59,59,179.39604,-1.13984,0.263,0.348,PG+ELG,690020,40090001408.0,0.262800008058548
60,60,181.52958,1.9349599999999998,0.223,0.297,PG+ELG,814991,,
61,61,213.6345,0.74998,0.273,0.528,PG+ELG,14983,103499997184.0,0.2727999985218048
62,62,214.61879,0.62943,0.23199999999999998,0.27899999999999997,PG+ELG,15221,81439997952.0,0.23160000145435333
63,63,215.97478999999998,0.67592,0.142,0.22699999999999998,PG+ELG,15554,18350000128.0,0.1421000063419342
64,64,218.90542000000002,-0.7438899999999999,0.34299999999999997,0.245,PG+ELG,48883,31950000128.0,0.3425999879837036
65,65,222.49875,-0.40713,0.253,0.649,PG+ELG,65298,90939998208.0,0.25270000100135803
66,66,215.20808,0.17706,0.316,0.62,PG+ELG,77892,61110001664.0,0.3158999979496002
67,67,217.327,0.86711,0.16,0.452,PG+ELG,106821,10750000128.0,0.15970000624656677
68,68,215.06082999999998,1.6042299999999998,0.19,0.243,PG+ELG,238715,61440000000.0,0.18979999423027039
69,69,217.45604,1.52598,0.284,0.379,PG+ELG,239367,105500000256.0,0.2840999960899353
70,70,214.17046000000002,2.07386,0.5529999999999999,0.386,PG+ELG,250209,124899999744.0,0.553600013256073
71,71,214.82401000000002,2.12522,0.304,0.26899999999999996,PG+ELG,250487,130100002816.0,0.2689000070095062
72,72,218.22696000000002,1.9778200000000001,0.439,0.466,PG+ELG,251342,165499994112.0,0.4392000138759613
73,73,222.14057999999997,1.1650399999999999,0.319,0.374,PG+ELG,298899,86270001152.0,0.3190999925136566
74,74,214.14233,1.86348,0.266,0.28600000000000003,PG+ELG,319348,43619999744.0,0.26589998602867126
75,75,214.38537999999997,1.9114,0.051,0.245,PG+ELG,319416,875900032.0,0.05079999938607216
76,76,218.13475,1.68924,0.109,0.192,PG+ELG,320384,5746999808.0,0.10930000245571136
77,77,218.63421,1.7856599999999998,0.27399999999999997,0.27899999999999997,PG+ELG,320557,177499996160.0,0.27399998903274536
78,78,215.06900000000002,2.22422,0.391,0.32799999999999996,PG+ELG,342308,366099988480.0,0.3905999958515167
79,79,212.48057999999997,-1.6174600000000001,0.115,0.41100000000000003,PG+ELG,460463,31270000640.0,0.1152999997138977
80,80,213.41046,-1.64736,0.429,0.308,PG+ELG,460713,172699992064.0,0.4293999969959259
81,81,217.11896000000002,-1.79492,0.26899999999999996,0.40399999999999997,PG+ELG,485756,24689999872.0,0.2685999870300293
82,82,215.95117000000002,-1.6813099999999999,0.20199999999999999,0.305,PG+ELG,508116,27910000640.0,0.2021999955177307
83,83,211.95117000000002,0.23064,0.51,0.262,PG+ELG,617535,91690000384.0,0.5101000070571899
84,84,213.49346,0.35214,0.231,0.262,PG+ELG,617856,85360001024.0,0.23149999976158142
