,GAMA_ID,RA,DEC,LENS_SCORE,STELLAR_MASS,Z,NONE,RING,LENS,IRREGULAR,OTHER,DUST_LANE,OVERLAPPING,Unnamed: 0_y,incomplete_data,maybe_lens,no_clear_lens
0,84050,175.79849,0.47813999999999995,0.3657584981836216,54710001664.0,0.11900000274181365,0.281374023243115,0.1373292767758791,0.3657584981836216,0.0,0.0029134857634765033,0.07529543925802852,0.1373292767758791,157.0,0.0,1.0,0.0
1,40666,182.46693,-0.78528,0.36015843752091425,10389999616.0,0.10670000314712524,0.2938636759746426,0.0,0.36015843752091425,0.0,0.12499708539534082,0.11441050259487195,0.10657029851423044,130.0,0.0,1.0,0.0
2,55245,181.07958,-0.31553000000000003,0.3140544819767729,127400001536.0,0.09359999746084212,0.0,0.07845892338487782,0.3140544819767729,0.12831299236513552,0.2010745004892736,0.03981286682091185,0.23828623496302834,140.0,0.0,1.0,0.0
3,560204,179.65787,-0.48421000000000003,0.3801848922936733,8501000192.0,0.0843999981880188,0.2365839287276049,0.1437064716974554,0.3801848922936733,0.0,0.16240501164171095,0.07711969563955551,0.0,141.0,0.0,1.0,0.0
4,144068,178.83194,-1.4089399999999999,0.3304107140301229,23759998976.0,0.1446000039577484,0.339178571939754,0.0,0.3304107140301229,0.0,0.0,0.0,0.3304107140301229,92.0,0.0,1.0,0.0
5,289994,184.23553,1.85313,0.3326065927802746,18480001024.0,0.11379999667406082,0.3347868144394507,0.0,0.3326065927802746,0.0,0.3326065927802746,0.0,0.0,111.0,0.0,1.0,0.0
6,491505,212.1493,-1.5112700000000001,0.4296963224628938,1643000064.0,0.07609999924898148,0.20528037803738328,0.04074530654887412,0.4296963224628938,0.0,0.00015843507653274472,0.0,0.32411955787431607,136.0,0.0,1.0,0.0
7,543556,211.99696,-0.9925200000000001,0.5697293031713155,4737999872.0,0.08709999918937683,0.2403609291049125,0.18990976772377186,0.5697293031713155,0.0,0.0,0.0,0.0,138.0,0.0,1.0,0.0
8,93310,219.92276,0.50731,0.575139057325562,30940000256.0,0.13770000636577606,0.424860942674438,0.0,0.575139057325562,0.0,0.0,0.0,0.0,162.0,0.0,1.0,0.0
9,136604,175.87349,-1.74167,0.31645069407057624,286600003584.0,0.10599999874830246,0.0719559986969696,0.0,0.31645069407057624,0.08755810430027411,0.2239951977414648,0.0262096957612102,0.27383030942950515,89.0,0.0,1.0,0.0
10,371601,132.01727,1.03236,0.31987644638725343,6238000128.0,0.06069999933242797,0.30441345067988784,0.261554094184075,0.31987644638725343,0.048767485202764964,0.06538852354601875,0.0,0.0,123.0,0.0,1.0,0.0
11,600679,136.8274,0.25166,0.4192855509147133,3732999936.0,0.10100000351667404,0.23480537720663314,0.0523034760320917,0.4192855509147133,0.0523034760320917,0.1569104280962751,0.0843916917181953,0.0,153.0,0.0,1.0,0.0
12,324764,137.20387,1.72633,0.4227567639279565,46470000640.0,0.10440000146627426,0.22326826532805494,0.09269931761994776,0.4227567639279565,0.0,0.19595673984303053,0.0,0.0653189132810102,119.0,0.0,1.0,0.0
13,320551,218.67851000000002,1.7833599999999998,0.5296417151914627,13029999616.0,0.0778999999165535,0.13731148603112794,0.0009462765152300334,0.5296417151914627,0.2490753916966344,0.08302513056554481,0.0,0.0,116.0,0.0,1.0,0.0
14,418788,137.69141000000002,2.74717,0.3430625755391247,55779999744.0,0.1436000019311905,0.20601126121415075,0.22220078277593192,0.3430625755391247,0.0,0.16003780894586506,0.06868757152492765,0.0,133.0,0.0,1.0,0.0
15,202397,129.44791999999998,-0.24408000000000002,0.3472897784548457,589400000.0,0.05220000073313713,0.3227257371514153,0.0002142393879823614,0.3472897784548457,0.0002142393879823614,0.0,0.046312287525709706,0.28324371809206456,99.0,0.0,1.0,0.0
16,422113,129.41517,2.59516,0.4995803715872445,20199999488.0,0.1202000007033348,0.06579967205446267,0.1004811287630643,0.4995803715872445,0.0,0.0,0.33413882759522856,0.0,134.0,0.0,1.0,0.0
17,372045,133.97321000000002,0.9832,0.37830414114878375,24569999360.0,0.11940000206232072,0.5763853688527836,0.0,0.37830414114878375,0.0,0.045310489998432575,0.0,0.0,124.0,0.0,1.0,0.0
18,197611,136.03367,-0.72014,0.3193540104753855,10119999488.0,0.11630000174045566,0.35276883272693543,0.049749967053993184,0.3193540104753855,0.09949993410798637,0.12887728858170638,0.049749967053993184,0.0,96.0,0.0,1.0,0.0
19,287627,174.1965,1.6935200000000001,0.3227870943232424,23520000000.0,0.13439999520778656,0.5579580333150329,0.0,0.3227870943232424,0.0,0.0,0.11925487236172473,0.0,109.0,0.0,1.0,0.0
20,39718,177.9385,-0.71802,0.3830932151488429,8947999744.0,0.08089999854564668,0.3912767970031171,0.0,0.3830932151488429,0.12769773838294762,0.07066968846535415,0.027262560999738228,0.0,129.0,0.0,1.0,0.0
21,40957,183.73733000000001,-0.69189,0.3342535685400784,2211000064.0,0.1243000030517578,0.12208451331070358,0.03713928539334205,0.3342535685400784,0.11141785618002613,0.13470622395059198,0.07470212565854772,0.18569642696671024,131.0,0.0,1.0,0.0
22,272460,179.4985,1.4293200000000001,0.3286690785813425,4664000000.0,0.13349999487400055,0.6166495385167382,0.0,0.3286690785813425,0.0,0.054681382901919234,0.0,0.0,108.0,0.0,1.0,0.0
23,586565,185.45096,-0.0066099999999999996,0.3543304315363873,7343000064.0,0.10830000042915344,0.2404574215525435,0.0,0.3543304315363873,0.05569123866785517,0.11687943769451355,0.05569123866785517,0.17695023188084524,150.0,0.0,1.0,0.0
24,16199,217.85542,0.70541,0.32974718994102936,18019999744.0,0.12449999898672105,0.313526948245406,0.0,0.32974718994102936,0.001622111864228957,0.2237864119129105,0.10317712187316826,0.028140216163256758,95.0,0.0,1.0,0.0
25,299118,223.34617000000003,1.1418700000000002,0.5596147363753493,12910000128.0,0.1459999978542328,0.00019238704876748376,0.0,0.5596147363753493,0.10521881352566376,0.27879565564910924,0.0,0.056178407401110214,113.0,0.0,1.0,0.0
26,594681,221.11007999999998,-0.058679999999999996,0.41181676491276376,4088000000.0,0.1460999995470047,0.3326818826204162,0.0,0.41181676491276376,0.08236335298255275,0.03193175518338225,0.05884289131833221,0.08236335298255275,152.0,0.0,1.0,0.0
27,543671,212.42117000000002,-0.89741,0.405675659769126,12280000512.0,0.14079999923706055,0.4288922286073842,0.0,0.405675659769126,0.0,0.08256729709278422,0.0,0.08286481453070561,139.0,0.0,1.0,0.0
