Candidate,objectid,RA,dec,grade,photoz,imag,notes,,
DESJ0319-5751,354864135,49.90701,-57.85219,2.7,0.54,19.2,,,
DESJ0320-1624,352008867,50.15414,-16.40618,3,0.59,19.6,,,
DESJ0320-3119,355312277,50.06689,-31.32149,2,0.75,19.5,,,
DESJ0320-4159,349979646,50.11682,-41.98881,2.7,0.66,19.1,,,
DESJ0321-1530,353748149,50.3566,-15.50098,2.7,0.62,19.5,,,
DESJ0322-2339,355712108,50.67685,-23.66524,2.3,0.54,19.4,,,
DESJ0322-3946,358893159,50.71632,-39.76936,2.7,0.85,20.3,,,
DESJ0322-4224,358251063,50.59429,-42.40605,2.3,0.57,19.3,,,
DESJ0322-5234,359440586,50.56837,-52.5779,3,0.46,18,a1,,
DESJ0324-3556,359347789,51.02925,-35.93638,2,0.38,17.6,,,
DESJ0326-4812,362343856,51.51215,-48.20995,2,0.43,17.7,d,,
DESJ0326-5645,361461421,51.62299,-56.7617,2.7,0.68,20.2,a1,,
DESJ0327-1326,360253469,51.86318,-13.43961,3,0.56,19,b,,
DESJ0327-3246,361760653,51.79729,-32.77616,2.7,0.65,19,,,
DESJ0328-2140,362669813,52.0566,-21.67208,2.3,0.59,18.2,b,,
DESJ0328-3833,361724422,52.24989,-38.55273,2.3,0.41,18.3,,,
DESJ0328-4029,363968737,52.00516,-40.49922,2,0.51,19.2,,,
DESJ0329-5656,361472987,52.26624,-56.94944,2.7,0.4,17.3,,,
DESJ0330-2127,362656939,52.62838,-21.45315,2,0.72,20,d,,
DESJ0330-5228,368913139,52.73718,-52.47028,2.5,0.46,17.7,"b1,2",,
DESJ0332-1325,365125003,53.01064,-13.4195,2.3,0.64,20.2,d,,
DESJ0333-1440,366164591,53.4832,-14.66914,2.2,0.53,18.5,b,,
DESJ0333-1837,366216886,53.41061,-18.61902,2,0.26,20.2,,,
DESJ0334-1838,366217976,53.74324,-18.64403,2.7,0.51,19.1,,,
DESJ0334-2634,367701604,53.74703,-26.57546,2,0.44,17.7,d,,
DESJ0334-4817,367248708,53.54557,-48.28704,2,0.5,18.3,a1,,
DESJ0334-4940,368398173,53.58416,-49.67789,2,0.66,19.1,,,
DESJ0334-6034,368841941,53.74437,-60.58056,2.3,0.58,18.3,,,
DESJ0336-2021,367624957,54.17408,-20.3531,2,0.65,19.6,b,,
DESJ0336-3812,368270048,54.11897,-38.20245,2,0.45,18.6,,,
DESJ0337-3152,370414914,54.32183,-31.87043,3,0.47,18.6,,,
DESJ0338-1619,371619216,54.69029,-16.32305,2.7,0.7,19.7,,,
DESJ0339-5830,370944473,54.77706,-58.50469,2.3,0.36,17.2,,,
DESJ0340-2533,374318639,55.08904,-25.55837,2.7,0.67,19.5,d,,
DESJ0341-5130,374811766,55.37833,-51.51241,2.7,0.42,19,a1,,
DESJ0342-5355,374878192,55.5192,-53.92059,3,0.63,18.4,a1,d,
DESJ0344-4447,378734502,56.14624,-44.79555,3,0.81,20.1,,,
DESJ0345-2459,378104707,56.3664,-24.98848,3,0.47,19.3,,,
DESJ0347-2454,378100572,56.93556,-24.90874,3,0.57,19.2,,,
DESJ0347-3158,424959030,56.95311,-31.98063,2.3,0.38,17.5,d,,
DESJ0347-3647,380333963,56.93924,-36.79364,2.3,0.61,19.2,,,
DESJ0347-4535,379955716,56.80535,-45.585,3,0.66,19,a1,,
DESJ0348-1306,379862967,57.14437,-13.11303,2,0.59,18.4,d,,
DESJ0348-2145,379404679,57.00965,-21.75082,3,0.43,17.2,,,
DESJ0348-2655,379292496,57.02437,-26.92048,2,0.37,17.6,,,
DESJ0349-1500,382692058,57.45008,-15.00234,2.3,0.37,17.3,,,
DESJ0349-4857,380145919,57.33127,-48.95926,3,0.65,18.8,a1,,
DESJ0350-4824,381150466,57.70236,-48.40619,2.3,0.78,20.1,,,
DESJ0352-3825,385542120,58.1767,-38.42915,3,0.54,18.4,,,
DESJ0353-1706,386508843,58.44268,-17.1109,3,0.6,19.2,,,
DESJ0354-1609,386476783,58.57614,-16.1645,2.7,0.63,18.7,,,
DESJ0354-2420,386408997,58.69798,-24.33749,3,0.66,19.5,,,
DESJ0356-1457,386858139,59.21895,-14.96632,2.3,0.55,19.4,,,
DESJ0356-2408,386397276,59.20438,-24.14476,3,0.48,18.7,,,
DESJ0356-5607,392535235,59.026,-56.12484,2,0.48,17.6,d,,
DESJ0357-5810,482065451,59.40346,-58.18149,2.7,0.61,18.5,a1,,
DESJ0357-5951,386543661,59.33565,-59.86512,2.3,0.58,19.3,,,
DESJ0358-2950,387200923,59.53509,-29.84965,2,0.4,18.3,,,
DESJ0402-2205,484107721,60.5238,-22.09897,3,0.49,19.3,d,,
DESJ0402-5258,482528109,60.73983,-52.97845,2,0.87,20.5,a1,,
DESJ0403-1512,486502907,60.80335,-15.21602,2,0.65,19.9,,,
DESJ0403-5432,488465172,60.84466,-54.54363,3,0.75,19.7,,,
DESJ0406-2646,484389531,61.60206,-26.77362,3,1.54,20.3,,,
DESJ0407-5713,389992748,61.81508,-57.21756,2.7,0.4,17.8,d,,
DESJ0408-5354,488067795,62.09132,-53.90026,2.7,0.04,19.5,"a1,12",,
DESJ0410-3037,406431056,62.55545,-30.62385,2,0.73,19.8,,,
DESJ0411-2256,398879866,62.7834,-22.94312,2.3,0.57,19.8,,,
DESJ0411-3144,397635797,62.95688,-31.74853,2.7,0.78,20.3,,,
DESJ0411-4819,400940211,62.79569,-48.32768,2.7,0.46,17.7,"ac1,13",,
DESJ0411-5107,403494207,62.92814,-51.12636,2.3,0.48,17.8,,,
DESJ0412-1954,401080659,63.16191,-19.90303,2.7,0.64,19.5,c,,
DESJ0412-2646,402142279,63.17877,-26.77565,2.3,0.43,17.1,,,
DESJ0413-2344,400295190,63.42129,-23.73947,2,0.71,19.4,,,
DESJ0415-4012,398187423,63.91078,-40.20893,2,0.55,19.7,,,
DESJ0415-4143,402556287,63.93554,-41.72949,2.3,0.75,19.2,d,,
DESJ0416-5525,496377974,64.18671,-55.41675,2.7,0.43,17.6,a1,d,
DESJ0416-5908,401596916,64.16482,-59.14804,2.3,0.53,19.1,,,
DESJ0418-5457,406587770,64.54117,-54.95973,2.7,0.53,19.6,a1,,
DESJ0418-6125,496621301,64.60748,-61.42413,2.3,0.38,17.5,,,
DESJ0419-2959,495663192,64.77709,-29.99383,2,0.91,20.3,,,
DESJ0420-5422,498547848,65.1782,-54.37706,2,0.73,19.8,,,
DESJ0422-2132,496451011,65.5759,-21.54608,3,0.64,19.3,,,
DESJ0422-4031,498968361,65.60553,-40.53217,3,0.41,17.9,d,,
DESJ0424-3317,498603518,66.16119,-33.29491,3,0.62,18.2,c,,
DESJ0428-3218,499443386,67.06771,-32.30001,2.3,0.71,19.4,,,
DESJ0429-2243,469427390,67.37815,-22.73322,2.3,0.66,19.6,,,
DESJ0429-2826,505469261,67.28763,-28.438,2,0.47,18.5,,,
DESJ0429-6011,470193950,67.39444,-60.19064,2.3,1.06,20.2,,,
DESJ0430-2051,469242961,67.59246,-20.85277,2,0.62,19.5,,,
DESJ0431-4317,505813589,67.92345,-43.29463,2,0.55,19.5,,,
DESJ0431-5422,469937250,67.8459,-54.37902,2.3,0.55,19.3,,,
DESJ0433-2714,469726289,68.26475,-27.23982,2.7,0.53,19.6,,,
DESJ0433-4456,470414267,68.45305,-44.93493,2,0.6,19.6,,,
DESJ0437-5136,508636686,69.45059,-51.60777,2.3,0.59,19.6,,,
DESJ0437-6428,490781756,69.3146,-64.47504,2.3,0.44,17.8,,,
DESJ0437-6502,497809494,69.48652,-65.03786,2.3,0.63,18.7,,,
DESJ0438-3228,490038071,69.52573,-32.48116,2,0.4,17.3,,,
DESJ0441-4314,496058773,70.37184,-43.23723,2.7,0.51,19.3,,,
DESJ0442-2920,495043677,70.62357,-29.34467,2.3,0.57,19.3,,,
DESJ0442-6257,506943132,70.7037,-62.95143,2,0.45,19.7,d,,
DESJ0443-2026,497282912,70.79929,-20.44658,2.7,0.66,19.2,,,
DESJ0443-6228,506890546,70.93285,-62.46824,2.3,0.65,19.9,,,
DESJ0446-2001,503213475,71.56238,-20.02854,2.3,0.43,18.4,d,,
DESJ0446-2714,503055747,71.6667,-27.24653,2.3,0.63,18.9,,,
DESJ0448-5807,503582193,72.02201,-58.12258,3,0.42,18.3,a1,,
DESJ0449-2918,479366135,72.28966,-29.30456,2,0.6,18.6,,,
DESJ0450-5715,481189495,72.5367,-57.25556,3,0.42,17.9,a1,,
DESJ0452-3540,486595893,73.12391,-35.67423,2,0.61,19.1,,,
DESJ0453-5535,487409539,73.38443,-55.59106,2,0.36,17.6,,,
DESJ0454-6234,408367693,73.68189,-62.56679,2.7,0.64,20,,,
DESJ0455-2530,397694347,73.90302,-25.5128,2.7,0.44,17.7,b,,
DESJ0456-2946,398369563,74.1654,-29.77272,2.7,0.46,18.5,,,
DESJ0457-3549,394429819,74.39074,-35.83147,2,0.69,19.5,d,,
DESJ0457-4115,394973892,74.4219,-41.25687,2,0.5,18.8,d,,
DESJ0457-4331,399018963,74.46276,-43.52617,2.7,0.78,19.7,,,
DESJ0458-4045,394868723,74.69941,-40.75106,2,0.49,19.1,,,
DESJ0459-2045,395472372,74.7561,-20.75189,2.7,0.68,19.4,,,
DESJ0501-5054,397556846,75.2778,-50.91315,2.7,0.53,19.5,,,
DESJ0502-5828,409607810,75.6642,-58.47481,2.7,0.43,18.6,,,
DESJ0503-3553,405612468,75.7699,-35.8852,2.7,0.68,19.2,,,
DESJ0504-3548,405607557,76.07334,-35.8017,2,0.73,19.6,,,
DESJ0505-4611,410418835,76.26967,-46.19931,2,0.63,19.4,,,
DESJ0505-6149,412242213,76.44598,-61.83072,2.3,0.77,20,,,
DESJ0506-2049,412357300,76.50219,-20.8168,2.3,0.61,19.5,,,
DESJ0506-4220,412598534,76.73095,-42.34575,2.7,0.43,18,d,,
DESJ0507-5348,412809087,76.94602,-53.81148,2,0.44,18.2,d,,
DESJ0508-2144,413900270,77.20527,-21.74187,2.7,0.73,18.9,d,,
DESJ0508-2746,414408351,77.17749,-27.77706,2.7,0.7,20.1,,,
DESJ0509-5342,412802769,77.33914,-53.70351,2.5,0.45,18.3,"b1,2",,
DESJ0510-3232,415264664,77.55331,-32.53492,2.7,0.51,18.5,,,
DESJ0510-5637,416330172,77.5549,-56.63171,2.7,0.56,19,a1,,
DESJ0511-3134,413601266,77.82017,-31.5756,2.3,0.84,19.6,,,
DESJ0512-5041,414671694,78.00324,-50.68968,2.7,0.8,20.4,,,
DESJ0513-3847,415684203,78.25092,-38.79534,3,0.42,17.2,,,
DESJ0514-5456,423087260,78.53033,-54.94835,2,0.89,20.2,,,
DESJ0516-2208,421153300,79.01322,-22.14642,2,0.74,18.9,,,
DESJ0516-4416,425110323,79.17349,-44.27903,2.7,0.7,19.9,,,
DESJ0522-6036,432182051,80.58806,-60.60666,2.7,0.38,17,,,
DESJ0524-2721,495171666,81.09859,-27.35316,2.3,0.38,17.3,,,
DESJ0525-4424,431878468,81.36681,-44.40375,2.3,0.54,19.2,a1,,
DESJ0528-3811,434441869,82.13907,-38.19495,2,0.66,19.8,,,
DESJ0530-6109,437004264,82.51363,-61.1618,2,0.5,19.4,,,
DESJ0531-3158,435151688,82.92694,-31.98092,2,0.56,18.7,,,
DESJ0533-2536,436520077,83.45553,-25.61511,3,0.71,19.8,,,
DESJ0534-5347,476312399,83.68678,-53.78785,2.7,0.46,18.4,,,
DESJ0536-5338,441387666,84.02185,-53.64641,2.7,0.75,19.6,a,,
DESJ0537-4647,440192267,84.35163,-46.78401,2,0.41,18,,,
DESJ0537-4711,442349695,84.44091,-47.18897,2.3,0.45,17.4,a1,,
DESJ0538-4735,440626159,84.51923,-47.58715,3,0.64,19.5,a1,,
DESJ0542-5949,446496955,85.60111,-59.83305,2.3,0.82,20,,,
DESJ0543-3034,443691408,85.99182,-30.58041,2.3,0.46,18.6,,,
DESJ0543-3752,443873820,85.75861,-37.87701,2.3,0.54,19.3,d,,
DESJ0546-2000,445925268,86.52108,-20.00709,2.3,0.68,18.9,,,
DESJ0546-3329,446691881,86.61455,-33.48964,2.3,0.46,18.5,d,,
DESJ0553-2853,455705762,88.29686,-28.89357,2,0.73,19.8,,,
DESJ0554-2238,460703862,88.60108,-22.63505,2,0.45,20.1,b,,
DESJ0557-4159,448420913,89.39342,-41.9973,2.7,0.58,19.9,d,,
DESJ0559-3540,449284676,89.95629,-35.67013,2,0.69,19.9,,,
DESJ0602-4524,454651910,90.69522,-45.412,3,0.53,18.6,a1,d,
DESJ0612-3920,461287032,93.11443,-39.34343,2,0.51,19.1,,,
DESJ0613-5552,464163629,93.30138,-55.87347,2.7,0.81,20.4,,,
DESJ0620-5628,467246294,95.07919,-56.48287,2.7,0.61,19.4,,,
DESJ0624-4709,467288040,96.06586,-47.16168,2.7,0.84,19.9,d,,
DESJ0625-4526,466018111,96.25055,-45.43576,2.7,0.6,18.9,a1,,
DESJ0626-5730,467900153,96.59632,-57.50837,2.7,0.72,18.8,,,
DESJ0628-5023,467004961,97.03929,-50.39994,2,0.44,18.1,,,
DESJ2014-5757,166130477,303.58076,-57.95041,3,0.8,20,d,,
DESJ2025-4204,166736956,306.32627,-42.08248,2,0.71,20.2,b,,
DESJ2028-5231,170303276,307.23246,-52.52177,3,0.66,19.7,,,
DESJ2039-5459,174184226,309.79778,-54.99594,2.7,0.17,21,a 1,,
DESJ2045-6344,218602325,311.29752,-63.74792,2,0.48,17.9,,,
DESJ2051-6450,179178262,312.99332,-64.84365,2,0.62,20,,,
DESJ2053-5046,242818860,313.28612,-50.78121,2.3,0.7,20.7,d,,
DESJ2056-4238,186351000,314.0659,-42.64923,2.7,0.71,20.4,,,
DESJ2101-5629,236804532,315.25851,-56.49656,2,0.41,18.7,,,
DESJ2105-4934,187548006,316.27045,-49.57829,2,0.51,18.2,,,
DESJ2106-4411,188387027,316.52989,-44.19821,2.7,0.46,18.5,d,,
DESJ2106-5402,184661871,316.6479,-54.04109,2,0.42,17.8,d,,
DESJ2110-5639,185701755,317.52247,-56.65849,2.7,0.59,18.3,a1,d,
DESJ2112+0009,188723770,318.17974,0.15577,2.7,0.59,18.4,,,
DESJ2113-0114,192966022,318.48453,-1.24069,2.7,0.53,18.9,a1,,
DESJ2116-5947,193746022,319.11382,-59.78382,3,0.48,17.8,,,
DESJ2117-0056,196646767,319.3483,-0.94774,2.3,0.53,17.8,d,,
DESJ2118-4317,193632443,319.60728,-43.29433,2.3,0.51,19.2,,,
DESJ2119-0009,195317995,319.83958,-0.16294,2.3,0.54,20,,,
DESJ2122-4250,196144920,320.55153,-42.84999,2,0.62,19.1,,,
DESJ2124-4128,197645134,321.19662,-41.47104,2.3,0.63,19,d,,
DESJ2125-6504,191159999,321.30012,-65.07408,3,0.78,19.4,d,,
DESJ2126-0058,199596977,321.7131,-0.97425,2,0.6,19.6,,,
DESJ2127-5149,198186510,321.77933,-51.83083,3,0.77,19.3,a1,d,
DESJ2130+0159,198514358,322.69589,1.99907,2.3,0.69,19.6,,,
DESJ2131-4019,203401336,322.77049,-40.32251,2.2,0.45,17.7,b,,
DESJ2131-4655,204721418,322.98474,-46.92895,2,0.71,19.7,,,
DESJ2132-4305,200096605,323.07334,-43.09307,2,0.5,18.7,,,
DESJ2137-0129,208765710,324.49176,-1.48996,2.7,0.41,18.2,,,
DESJ2139-4251A,244329751,324.7802,-42.86152,2.3,0.46,19.5,b,,
DESJ2140-0149,207661829,325.21674,-1.82716,2.3,0.67,19.2,,,
DESJ2140-4207,212627230,325.02644,-42.12956,2.7,0.56,19.4,,,
DESJ2144-4149,242604259,326.22656,-41.83128,2,0.37,17.2,,,
DESJ2145-4306,214625101,326.44328,-43.1137,2,0.51,18.9,,,
DESJ2149-0012,215694905,327.3138,-0.21431,2,0.64,18,a1,,
DESJ2152-5250,243367339,328.22047,-52.835,2.3,0.65,19.1,,,
DESJ2159-4307,245879871,329.77985,-43.12946,2.2,0.39,16.2,b,,
DESJ2200-4128,247210752,330.18545,-41.47227,2.3,0.56,19.8,a 2,,
DESJ2201-6047,247165409,330.27719,-60.78407,2.3,0.48,18.1,d,,
DESJ2203-6408,70905032,330.89934,-64.13907,2.3,0.69,19.4,,,
DESJ2211-5438,76343894,332.98655,-54.64442,2.3,0.64,19.3,,,
DESJ2212-4128,75848635,333.02475,-41.47315,2,0.37,18,,,
DESJ2215-0138,75042870,333.96727,-1.63723,2,0.65,19,d,,
DESJ2216-4419,76102671,334.15922,-44.32216,2.7,0.63,18.2,,,
DESJ2218-4504,75469120,334.74019,-45.07379,2.3,0.65,18.9,,,
DESJ2219-4348,80103224,334.80166,-43.80975,3,0.71,19.1,,,
DESJ2219-4504,75469581,334.80513,-45.08072,2,0.72,19.5,,,
DESJ2220-5949,80012526,335.21651,-59.82418,2,0.55,19.4,,,
DESJ2226+0041,82782545,336.53876,0.69504,2.7,0.74,19.4,"a 1,19",,
DESJ2226-4636,84960890,336.62064,-46.60151,2.3,0.48,18.4,,,
DESJ2228-4650,83291276,337.14677,-46.83995,2,0.37,19.9,b,,
DESJ2232-5959,84477903,338.14086,-59.9981,2,0.65,18.5,a2,,
DESJ2234-4110,88791681,338.58932,-41.17777,2.7,0.47,18.8,,,
DESJ2238-4317,96933817,339.71254,-43.29173,2.3,0.65,19.4,,,
DESJ2245-5017,100785152,341.26572,-50.29037,3,0.5,19.8,,,
DESJ2248-0123,98187103,342.15155,-1.39278,2.3,0.65,18.5,d,,
DESJ2248-4431,100664389,342.18318,-44.5308,2.7,0.27,16.7,"b1,2",,
DESJ2254-4055,104947647,343.5127,-40.93031,2.7,0.66,19.2,a 1,,
DESJ2255-4123,104511812,343.77631,-41.38895,2,0.67,19.2,,,
DESJ2259-4504,106557886,344.97848,-45.08013,2,0.52,19.1,,,
DESJ2300-4454,106547800,345.01328,-44.90647,2,0.5,19.4,,,
DESJ2301-6501,109542319,345.40177,-65.03269,2,0.6,19.8,,,
DESJ2303-5115,127551471,345.76962,-51.2505,2.7,0.53,18.2,,,
DESJ2305-0002,112454911,346.34025,-0.03655,3,0.51,19,a22,,
DESJ2305-4441,112637264,346.36599,-44.69629,2.3,0.59,19.1,d,,
DESJ2308-0211,113660691,347.09255,-2.19214,2.3,0.42,16.7,b16,,
DESJ2308-0212,113661583,347.10308,-2.20378,2.3,0.43,17.2,b16,,
DESJ2311-4546,124310010,347.79872,-45.78281,2.3,0.59,19,,,
DESJ2312-4754,122895085,348.00185,-47.90321,2,0.63,19.7,,,
DESJ2321-4630,126963595,350.36821,-46.51371,3,0.64,18.8,ac 1,,
DESJ2322-6409,129115213,350.68261,-64.16565,3,0.41,17.5,d,,
DESJ2323-0030,126557178,350.94191,-0.51056,2,0.85,20.4,,,
DESJ2325-0052,131224001,351.48903,-0.87407,2.3,0.73,20,,,
DESJ2325-4111,130067409,351.29546,-41.19026,2.7,1.43,100,"b1,2",,
DESJ2329-5328,135432654,352.48378,-53.47715,2,0.51,19,d,,
DESJ2331+0037,135139282,352.87703,0.62594,2,0.52,19.4,a22,d,
DESJ2334-5715,136894134,353.70143,-57.25099,2,0.47,18.5,,,
DESJ2334-6404,136837812,353.74665,-64.0686,3,0.72,19.5,,,
DESJ2335-5152,137085303,353.96636,-51.87161,3,0.61,18.8,a 1,,
DESJ2336-5352,137565894,354.02969,-53.87662,2,0.5,18.1,"a 1,17",,
DESJ2337-4730,137735570,354.39475,-47.50669,2.7,0.52,19.6,d,,
DESJ2345-4126,158856314,356.25481,-41.43636,2,0.65,19.7,,,
DESJ2349-5113,214800683,357.37523,-51.22751,3,0.48,17.5,a 1,,
DESJ2351-5452,164741263,357.90859,-54.88168,3,0.43,17.3,"a1,14,18",,
DESJ2355-6136,169555789,358.82982,-61.61029,2.7,0.53,18.9,,,
DESJ2357-5710,175719968,359.32342,-57.17383,2.3,0.56,19.4,,,
DESJ2358-5440,283922617,359.52065,-54.67623,2,0.44,20.6,,,
DESJ2358-5638,184225540,359.69297,-56.6472,2.3,0.63,19.6,d,,
DESJ2359-5538,284516950,359.759,-55.63496,2,0.73,19.9,d,,
