,RA,DEC,z1,z2,spec_type,GAMA_ID,STELLAR_MASS,max_total_mass,theta_e,Z,max_stellar_mass_salpeter,max_stellar_mass_chabrier
0,138.2815,-0.66673,0.163,0.321,PG+ELG,198082,30250000384.0,165579113924.05066,0.5146810773892407,0.1632000058889389,114249588607.59494,64575854430.37976
1,129.69546,-0.38179,0.418,0.738,PG+ELG,202448,,482006250000.0,,,332584312500.0,187982437500.0
2,136.63883,-0.35203,0.282,0.449,PG+ELG,204140,85779996672.0,379095808383.2334,0.5727918204001,0.2818000018596649,261576107784.43103,147847365269.46103
3,132.36771000000002,0.1636,0.128,0.603,PG+ELG,209222,14250000384.0,81246315789.4737,0.5042940986881272,0.12770000100135806,56059957894.73685,31686063157.89474
4,132.61013,0.11972,0.313,0.608,PG+ELG,209295,84560003072.0,322549152542.3729,0.6165422296991775,0.3125999867916107,222558915254.2373,125794169491.52545
5,134.02979,0.15244000000000002,0.16699999999999998,0.158,PG+ELG,209584,,-1465888888888.8918,,,-1011463333333.3353,-571696666666.6678
6,140.14186999999998,0.97341,0.586,0.336,PG+ELG,279956,,-393792000000.0001,,,-271716480000.00006,-153578880000.00006
7,135.32929,1.22984,0.487,0.247,PG+ELG,301818,121500000256.0,-250602083333.3333,,0.4862000048160553,-172915437499.99997,-97734812500.0
8,138.94058,1.33144,0.593,0.404,PG+ELG,302719,147399999488.0,-633788359788.3597,,0.5932999849319458,-437313968253.9682,-247177460317.4603
9,130.73717,1.55957,0.416,0.35,PG+ELG,323200,121600000000.0,-1103030303030.302,,0.415800005197525,-761090909090.9083,-430181818181.8178
10,131.02333000000002,1.6481400000000002,0.16399999999999998,0.229,PG+ELG,323247,36759998464.0,288892307692.3076,0.42953448773847136,0.16380000114440918,199335692307.69223,112667999999.99997
11,138.257,1.72137,0.329,0.336,PG+ELG,325026,,7895999999999.93,,,5448239999999.951,3079439999999.9727
12,138.62475,1.87141,0.202,0.165,PG+ELG,325108,41790001152.0,-450405405405.4057,,0.2019000053405761,-310779729729.7299,-175658108108.10822
13,130.50925,1.02071,0.077,0.6990000000000001,PG+ELG,371208,4812000256.0,43266077170.418,0.4015756276786849,0.07670000195503235,29853593247.588417,16873770096.46302
14,136.80625,1.64392,0.28300000000000003,0.308,PG+ELG,377212,98149998592.0,1743280000000.0024,0.2857194867130753,0.2825999855995178,1202863200000.0017,679879200000.001
15,137.90642,1.62916,0.16899999999999998,0.334,PG+ELG,377486,,171048484848.48486,,,118023454545.45454,66708909090.909096
16,130.27629,1.72911,0.361,0.387,PG+ELG,380839,237900005376.0,2686673076923.0747,0.3583175669747207,0.3601999878883362,1853804423076.9214,1047802499999.9991
17,138.7635,2.04159,0.341,0.358,PG+ELG,382857,77169999872.0,3590529411764.7144,0.17653193910317147,0.34060001373291016,2477465294117.653,1400306470588.2385
18,140.6575,2.13736,0.194,0.342,PG+ELG,383284,42750001152.0,224148648648.6486,0.5258698709432156,0.19359999895095825,154662567567.5675,87417972972.97295
19,138.99892,2.5142900000000004,0.16699999999999998,0.299,PG+ELG,388201,36470001664.0,189140151515.1515,0.5287547861372022,0.16740000247955322,130506704545.45451,73764659090.90909
20,132.51888,2.29438,0.108,0.457,PG+ELG,417645,8476000256.0,70710601719.19772,0.4168996210432237,0.10760000348091124,48790315186.24642,27577134670.487114
21,140.98671000000004,2.86084,0.569,0.662,PG+ELG,419678,,2025150537634.4067,,,1397353870967.7405,789808709677.4187
22,132.81062,2.8378400000000004,0.308,0.212,PG+ELG,422882,,-340083333333.3333,,,-234657499999.99997,-132632500000.0
23,129.41362,-0.01039,0.274,0.657,PG+ELG,573657,,235010443864.2297,,,162157206266.31848,91654073107.04959
24,135.66788,-0.13742,0.223,0.229,PG+ELG,574390,106499997696.0,4255583333333.3486,0.1904905938757301,0.22269999980926514,2936352500000.0103,1659677500000.006
25,140.77658,-0.11463,0.32,0.481,PG+ELG,575653,132299997184.0,478012422360.2485,0.6334883203960485,0.3199999928474426,329828571428.5714,186424844720.49692
26,140.42683,-1.09201,0.331,0.224,PG+ELG,663372,81979998208.0,-346467289719.62604,,0.3305000066757202,-239062429906.54196,-135122242990.65416
27,139.63437,-0.60728,0.585,0.757,PG+ELG,905359,268600000512.0,1287340116279.069,0.5500277984426879,0.5827999711036682,888264680232.5576,502062645348.837
28,129.95892,-1.63319,0.268,0.187,PG+ELG,3576902,56149999616.0,-309358024691.35803,,0.2678000032901764,-213457037037.03702,-120649629629.62964
29,134.23367,-0.80412,0.736,0.267,PG+ELG,3626956,,-209501066098.08105,,,-144555735607.6759,-81705415778.25162
30,138.10708,-0.95852,0.315,0.444,PG+ELG,3632403,144200007680.0,542093023255.814,0.6210463576266011,0.3151000142097473,374044186046.51166,211416279069.7675
31,135.10842,-1.60189,0.411,0.44,PG+ELG,3884455,,3117931034482.7617,,,2151372413793.1055,1215993103448.277
32,137.37821,-1.17997,0.227,0.328,PG+ELG,3909630,78360002560.0,368594059405.9406,0.5552024082801145,0.2270999997854233,254329900990.099,143751683168.31683
33,176.29228999999995,0.73915,0.529,0.642,PG+ELG,7242,,1502734513274.337,,,1036886814159.2924,586066460176.9915
34,176.96358,1.2031,0.094,0.7120000000000001,PG+ELG,22278,,54148867313.91585,,,37362718446.60193,21118058252.42718
35,178.05237,1.05246,0.28300000000000003,0.157,PG+ELG,22559,,-176313492063.49207,,,-121656309523.80951,-68762261904.7619
36,182.90017,0.17959,0.255,0.122,PG+ELG,71072,1494000000.0,-116954887218.0451,,0.12189999967813492,-80698872180.45111,-45612406015.03759
37,177.78321,0.91949,0.4,0.569,PG+ELG,98399,,673372781065.089,,,464627218934.9114,262615384615.3847
38,179.06704,0.99197,0.259,0.27,PG+ELG,98624,62649999360.0,3178636363636.3613,0.1690512545183231,0.2587000131607056,2193259090909.089,1239668181818.181
39,183.13442,1.00244,0.214,0.7440000000000001,PG+ELG,99508,51619999744.0,150203773584.90564,0.7059059840189912,0.2143000066280365,103640603773.58488,58579471698.113205
40,176.78942,-2.18512,0.435,0.398,PG+ELG,130303,,-2339594594594.5923,,,-1614320270270.2686,-912441891891.891
41,182.36783,-2.24046,0.63,0.179,PG+ELG,131725,139699994624.0,-125022172949.0022,,0.6298999786376953,-86265299334.81151,-48758647450.110855
42,176.05286999999996,-1.77459,0.264,0.589,PG+ELG,136800,86619996160.0,239224615384.61545,0.7245768157323821,0.26420000195503235,165064984615.38464,93297600000.00003
43,178.14021,-2.71487,0.078,0.153,PG+ELG,164640,51090001920.0,79560000000.0,0.9649367756114012,0.07810000330209732,54896399999.99999,31028400000.0
44,180.96967,-1.46278,0.265,0.273,PG+ELG,185604,91269996544.0,4521562499999.996,0.17107952435203422,0.2651000022888184,3119878124999.997,1763409374999.9985
45,182.7435,1.59787,0.289,0.361,PG+ELG,220682,112999997440.0,724506944444.4442,0.4755500446485978,0.2888999879360199,499909791666.66644,282557708333.33325
46,183.53083,1.55306,0.266,0.327,PG+ELG,220854,53719998464.0,712967213114.7542,0.3305304711875315,0.2662000060081482,491947377049.1803,278057213114.75415
47,182.16688,1.9984,0.16,0.6890000000000001,PG+ELG,231043,,104196597353.49716,,,71895652173.91304,40636672967.86389
48,183.15171,1.97018,0.19,0.218,PG+ELG,231307,38320001024.0,739642857142.8572,0.2740816805135493,0.18960000574588776,510353571428.5714,288460714285.7143
49,185.33296,1.92256,0.423,0.46,PG+ELG,231746,,2629459459459.457,,,1814327027027.0251,1025489189189.1882
50,185.65375,1.33724,0.217,0.415,PG+ELG,273903,,227411616161.61615,,,156914015151.51514,88690530303.0303
51,181.64301,1.7412299999999998,0.294,0.701,PG+ELG,289278,,253186732186.73215,,,174698845208.84515,98742825552.82555
52,174.23017,1.89732,0.138,0.204,PG+ELG,402278,,213272727272.72736,,,147158181818.18185,83176363636.36368
53,180.41129,-0.48254,0.165,0.5429999999999999,PG+ELG,560475,,118511904761.9048,,,81773214285.71431,46219642857.142876
54,181.98808,-0.52788,0.224,0.682,PG+ELG,560853,,166777292576.4192,,,115076331877.72923,65043144104.80349
55,175.01863,-0.14991,0.314,0.747,PG+ELG,583469,143799992320.0,270852193995.3811,0.8773876938414248,0.31439998745918274,186888013856.81296,105632355658.19864
56,184.62887,-0.18264,0.456,0.307,PG+ELG,586392,,-469771812080.5369,,,-324142550335.57043,-183211006711.4094
57,185.72429,-0.20906,0.6970000000000001,0.287,PG+ELG,586648,,-243949999999.99994,,,-168325499999.99994,-95140499999.99998
58,178.25696000000005,0.30019,0.365,0.391,PG+ELG,610029,,2744519230769.2285,,,1893718269230.7676,1070362499999.9991
59,179.39604,-1.13984,0.263,0.348,PG+ELG,690020,40090001408.0,538376470588.2355,0.3285892010855108,0.26280000805854803,371479764705.88245,209966823529.41183
60,181.52958,1.93496,0.223,0.297,PG+ELG,814991,,447506756756.7568,,,308779662162.1622,174527635135.13516
61,213.6345,0.74998,0.273,0.528,PG+ELG,14983,103499997184.0,282635294117.6471,0.7286773302834573,0.2727999985218048,195018352941.17648,110227764705.88237
62,214.61879,0.62943,0.232,0.279,PG+ELG,15221,81439997952.0,688595744680.8512,0.4141093115116213,0.2316000014543533,475131063829.7873,268552340425.53198
63,215.97479,0.67592,0.142,0.227,PG+ELG,15554,18350000128.0,189611764705.88232,0.3745964712600782,0.1421000063419342,130832117647.05879,73948588235.29411
64,218.90542,-0.7438899999999999,0.343,0.245,PG+ELG,48883,31950000128.0,-428750000000.0,,0.3425999879837036,-295837500000.0,-167212500000.0
65,222.49875,-0.40713,0.253,0.649,PG+ELG,65298,90939998208.0,207319444444.44446,0.7975092678817675,0.25270000100135803,143050416666.66666,80854583333.33334
66,215.20808,0.17706,0.316,0.62,PG+ELG,77892,61110001664.0,322236842105.2632,0.5243808673902559,0.3158999979496002,222343421052.6316,125672368421.05264
67,217.327,0.86711,0.16,0.452,PG+ELG,106821,10750000128.0,123835616438.35616,0.3547804953737209,0.15970000624656674,85446575342.46574,48295890410.9589
68,215.06083,1.6042299999999998,0.19,0.243,PG+ELG,238715,61440000000.0,435566037735.8491,0.45224823969829797,0.1897999942302704,300540566037.73584,169870754716.98117
69,217.45604,1.52598,0.284,0.379,PG+ELG,239367,105500000256.0,566505263157.8945,0.5196399616634932,0.2840999960899353,390888631578.9472,220937052631.5789
70,214.17046,2.07386,0.5529999999999999,0.386,PG+ELG,250209,124899999744.0,-639095808383.2338,,0.553600013256073,-440976107784.4313,-249247365269.46118
71,214.82401,2.12522,0.304,0.269,PG+ELG,250487,130100002816.0,-1168228571428.57,,0.2689000070095062,-806077714285.7133,-455609142857.14233
72,218.22696,1.97782,0.439,0.466,PG+ELG,251342,165499994112.0,3788407407407.404,0.251680135457848,0.4392000138759613,2614001111111.1084,1477478888888.8875
73,222.14058,1.16504,0.319,0.374,PG+ELG,298899,86270001152.0,1084600000000.0,0.33960446230639146,0.3190999925136566,748374000000.0,422994000000.0
74,214.14233,1.86348,0.266,0.28600000000000003,PG+ELG,319348,43619999744.0,1901899999999.9988,0.1823590312307388,0.2658999860286713,1312310999999.999,741740999999.9995
75,214.38538,1.9114,0.051,0.245,PG+ELG,319416,875900032.0,32203608247.42268,0.1985881316510444,0.050799999386072166,22220489690.72165,12559407216.494846
76,218.13475,1.68924,0.109,0.192,PG+ELG,320384,5746999808.0,126072289156.6265,0.25709229330108874,0.10930000245571136,86989879518.07228,49168192771.084335
77,218.63421,1.7856599999999998,0.274,0.279,PG+ELG,320557,177499996160.0,7644599999999.991,0.18348479339079188,0.27399998903274536,5274773999999.993,2981393999999.9966
78,215.069,2.22422,0.391,0.328,PG+ELG,342308,366099988480.0,-1017841269841.2688,,0.3905999958515167,-702310476190.4755,-396958095238.09485
79,212.48058,-1.61746,0.115,0.411,PG+ELG,460463,31270000640.0,79839527027.02702,0.7535867495232883,0.1152999997138977,55089273648.64864,31137415540.54054
80,213.41046,-1.64736,0.429,0.308,PG+ELG,460713,172699992064.0,-546000000000.0,,0.4293999969959259,-376740000000.0,-212940000000.0
81,217.11896,-1.79492,0.269,0.404,PG+ELG,485756,24689999872.0,402503703703.7036,0.29823175870763025,0.2685999870300293,277727555555.5555,156976444444.44443
82,215.95117,-1.68131,0.202,0.305,PG+ELG,508116,27910000640.0,299077669902.9125,0.3678461502765504,0.2021999955177307,206363592233.00958,116640291262.13586
83,211.95117,0.23064,0.51,0.262,PG+ELG,617535,91690000384.0,-269395161290.3226,,0.5101000070571899,-185882661290.32257,-105064112903.22581
84,213.49346,0.35214,0.231,0.262,PG+ELG,617856,85360001024.0,976161290322.5808,0.3560776386245047,0.23149999976158145,673551290322.5807,380702903225.8065
